# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 586  of event 'cycles'
# Event count (approx.): 620220825
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.18%  node     node                 [.] std::_Rb_tree<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*>, std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int>, std::_Select1st<std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int> >, std::less<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> >, v8::internal::ZoneAllocator<std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int> > >::_M_emplace_unique<std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*>, int>&>
     0.18%  node     node                 [.] Builtins_LoadIC_NoFeedback
     0.18%  node     node                 [.] v8::internal::CodeSerializer::SerializeReadOnlyObject
     0.18%  node     node                 [.] v8::internal::DeclarationScope::DeclarationScope
     0.18%  node     [kernel.kallsyms]    [k] sync_regs
     0.18%  node     node                 [.] v8::internal::Heap_GenerationalBarrierSlow
     0.18%  node     node                 [.] v8::internal::IC::IC
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseVariableDeclarations
     0.18%  node     node                 [.] v8::internal::Factory::NewFunction
     0.18%  node     node                 [.] v8::internal::interpreter::BytecodeArrayWriter::EmitBytecode
     0.18%  node     node                 [.] v8::internal::AccumulationScope<v8::internal::ParserTypes<v8::internal::PreParser> >::~AccumulationScope
     0.18%  node     node                 [.] node::NodeArrayBufferAllocator::Allocate
     0.18%  node     node                 [.] v8::internal::compiler::GraphTrimmer::TrimGraph
     0.18%  node     [kernel.kallsyms]    [k] __handle_mm_fault
     0.18%  node     node                 [.] v8::internal::AstValueFactory::GetOneByteStringInternal
     0.18%  node     node                 [.] Builtins_FastNewClosure
     0.18%  node     node                 [.] v8::internal::ScopeInfo::ContextSlotIndex
     0.18%  node     node                 [.] v8::internal::ExpressionParsingScope<v8::internal::ParserTypes<v8::internal::PreParser> >::ExpressionParsingScope
     0.18%  node     node                 [.] v8::internal::AstValueFactory::Internalize<v8::internal::Isolate>
     0.18%  node     node                 [.] v8::internal::LookupIterator::PrepareTransitionToDataProperty
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseHoistableDeclaration
     0.18%  node     node                 [.] v8::internal::Serializer::ObjectSerializer::OutputRawData
     0.18%  node     node                 [.] v8::internal::Parser::ParseFunction
     0.18%  node     node                 [.] v8::internal::JSObject::IsExtensible
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ClassifyArrowParameter
     0.18%  node     node                 [.] v8::internal::Scavenger::ScavengeObject<v8::internal::FullHeapObjectSlot>
     0.18%  node     [kernel.kallsyms]    [k] rmqueue
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseAssignmentExpressionCoverGrammar
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParsePropertyOrPrivatePropertyName
     0.18%  node     node                 [.] v8::internal::Scope::Lookup<(v8::internal::Scope::ScopeLookupMode)0>
     0.18%  node     node                 [.] std::vector<void*, std::allocator<void*> >::emplace_back<void*>
     0.18%  node     node                 [.] v8::internal::TransitionsAccessor::Insert
     0.18%  node     node                 [.] v8::internal::interpreter::BytecodeGenerator::BuildVariableLoad
     0.18%  node     node                 [.] v8::internal::Scope::DeclareVariable
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::DoParseMemberExpressionContinuation
     0.18%  node     node                 [.] v8::internal::StringShape::DispatchToSpecificTypeWithoutCast<v8::internal::StringShape::DispatchToSpecificType<v8::internal::String::Get(int)::StringGetDispatcher, unsigned short, int&>(v8::internal::String, int&)::CastingDispatcher, unsigned short, v8::internal::String&, int&>
     0.18%  node     node                 [.] v8::internal::SourcePositionTableBuilder::AddEntry
     0.18%  node     node                 [.] v8::internal::Scavenger::Process
     0.18%  node     node                 [.] Builtins_JumpIfToBooleanTrueHandler
     0.18%  node     node                 [.] v8::internal::Scope::AnalyzePartially
     0.18%  node     [kernel.kallsyms]    [k] xas_set_mark
     0.18%  node     node                 [.] v8::internal::ExpressionScope<v8::internal::ParserTypes<v8::internal::Parser> >::NewVariable
     0.18%  node     node                 [.] std::vector<std::pair<v8::internal::VariableProxy*, int>, std::allocator<std::pair<v8::internal::VariableProxy*, int> > >::resize
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseBindingPattern
     0.18%  node     node                 [.] v8::internal::Object::AddDataProperty
     0.18%  node     node                 [.] v8::internal::Factory::NewMap
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseArrowFunctionLiteral
     0.18%  node     node                 [.] v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::Resize
     0.18%  node     libc-2.31.so         [.] __memset_avx2_erms
     0.18%  node     libstdc++.so.6.0.28  [.] std::_Rb_tree_insert_and_rebalance
     0.18%  node     [kernel.kallsyms]    [k] __count_memcg_events
     0.18%  node     node                 [.] v8::internal::TransitionsAccessor::ReplaceTransitions
     0.18%  node     node                 [.] v8::internal::SerializerAllocator::EncodeReservations
     0.18%  node     node                 [.] v8::internal::(anonymous namespace)::DefineClass
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseArguments
     0.17%  node     [kernel.kallsyms]    [k] xas_find
     0.17%  node     node                 [.] v8::internal::interpreter::ConstantArrayBuilder::ToFixedArray<v8::internal::Isolate>
     0.17%  node     node                 [.] v8::internal::SaveContext::SaveContext
     0.17%  node     node                 [.] v8::internal::HashTable<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::EntryForProbe
     0.17%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseLogicalExpression
     0.17%  node     node                 [.] v8::internal::Serializer::ObjectSerializer::VisitPointers
     0.17%  node     node                 [.] v8::internal::Scanner::ScanString
     0.17%  node     node                 [.] v8::internal::Deserializer::ReadData<v8::internal::FullMaybeObjectSlot>
     0.17%  node     node                 [.] v8::base::TemplateHashMapImpl<unsigned long, v8::internal::SerializerReference, v8::base::KeyEqualityMatcher<long>, v8::base::DefaultAllocationPolicy>::LookupOrInsert<v8::base::TemplateHashMapImpl<unsigned long, v8::internal::SerializerReference, v8::base::KeyEqualityMatcher<long>, v8::base::DefaultAllocationPolicy>::LookupOrInsert(unsigned long const&, unsigned int, v8::base::DefaultAllocationPolicy)::{lambda()#1}>
     0.17%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseStatement
     0.17%  node     [kernel.kallsyms]    [k] filemap_map_pages
     0.17%  node     [kernel.kallsyms]    [k] ext4_da_write_begin
     0.17%  node     [kernel.kallsyms]    [k] __inc_numa_state
     0.17%  node     [kernel.kallsyms]    [k] __srcu_read_unlock
     0.17%  node     node                 [.] v8::internal::DescriptorArray::Append
     0.17%  node     node                 [.] v8::internal::StringStream::Add
     0.17%  node     [kernel.kallsyms]    [k] crc32c_pcl_intel_update
     0.16%  node     node                 [.] v8::internal::Code::OffHeapInstructionStart
     0.16%  node     [kernel.kallsyms]    [k] kmalloc_slab
     0.16%  node     [kernel.kallsyms]    [k] _raw_spin_lock
     0.16%  node     [kernel.kallsyms]    [k] aa_file_perm
     0.16%  node     node                 [.] v8::internal::OFStreamBase::sync
     0.16%  node     libstdc++.so.6.0.28  [.] std::ostream::sentry::~sentry
     0.16%  node     node                 [.] v8::internal::ExternalReference::Create
