# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2397426646
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.05%  node     node                 [.] v8::internal::(anonymous namespace)::CreateLiteral<v8::internal::(anonymous namespace)::ObjectLiteralHelper>
     0.05%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseExpressionCoverGrammar
     0.05%  node     node                 [.] std::_Rb_tree<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*>, std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int>, std::_Select1st<std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int> >, std::less<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> >, v8::internal::ZoneAllocator<std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int> > >::_M_emplace_unique<std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*>, int>&>
     0.05%  node     node                 [.] v8::internal::TransitionsAccessor::Insert
     0.05%  node     node                 [.] v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterTransfer
     0.05%  node     node                 [.] v8::internal::FactoryBase<v8::internal::Factory>::NewFixedArrayWithFiller
     0.05%  node     node                 [.] v8::internal::Scope::Snapshot::Reparent
     0.05%  node     node                 [.] v8::internal::Scanner::ScanString
     0.05%  node     node                 [.] v8::internal::interpreter::BytecodeRegisterOptimizer::Materialize
     0.05%  node     node                 [.] Builtins_SubSmiHandler
     0.05%  node     node                 [.] v8::internal::interpreter::BytecodeGenerator::BuildVariableLoad
     0.05%  node     [kernel.kallsyms]    [k] do_syscall_64
     0.05%  node     node                 [.] v8::internal::heap_internals::GenerationalBarrierInternal
     0.05%  node     node                 [.] v8::internal::compiler::X64OperandGenerator::GenerateMemoryOperandInputs
     0.05%  node     [kernel.kallsyms]    [k] xas_start
     0.05%  node     node                 [.] v8::internal::Worklist<std::pair<v8::internal::HeapObject, int>, 256>::Push
     0.05%  node     node                 [.] v8::internal::Serializer::ObjectSerializer::VisitPointers
     0.05%  node     node                 [.] v8::internal::Map::should_be_fast_prototype_map
     0.05%  node     node                 [.] v8::internal::SharedFunctionInfo::ScriptIterator::ScriptIterator
     0.05%  node     libc-2.31.so         [.] __mempcpy_avx_unaligned_erms
     0.05%  node     node                 [.] v8::base::TemplateHashMapImpl<long, unsigned int, v8::base::KeyEqualityMatcher<long>, v8::internal::ZoneAllocationPolicy>::Resize
     0.05%  node     [kernel.kallsyms]    [k] page_add_file_rmap
     0.05%  node     node                 [.] v8::internal::JSObject::DefineOwnPropertyIgnoreAttributes
     0.05%  node     node                 [.] v8::internal::PreParser::ParseFunctionLiteral
     0.05%  node     node                 [.] v8::internal::SharedFunctionInfo::UpdateFunctionMapIndex
     0.05%  node     libc-2.31.so         [.] __strcmp_avx2
     0.05%  node     node                 [.] v8::internal::ExpressionParsingScope<v8::internal::ParserTypes<v8::internal::PreParser> >::ExpressionParsingScope
     0.05%  node     node                 [.] v8::internal::Factory::AllocateRaw
     0.05%  node     node                 [.] v8::internal::Map::SetInstanceDescriptors
     0.05%  node     node                 [.] v8::internal::SharedFunctionInfo::GetCode
     0.05%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParsePrimaryExpression
     0.05%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseUnaryOrPrefixExpression
     0.05%  node     node                 [.] v8::internal::interpreter::BytecodeArrayBuilder::StoreAccumulatorInRegister
     0.05%  node     node                 [.] v8::internal::PagedSpace::AllocateRaw
     0.05%  node     [kernel.kallsyms]    [k] __find_get_block
     0.05%  node     node                 [.] v8::internal::interpreter::BytecodeRegisterOptimizer::GetInputRegister
     0.05%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseExpressionOrLabelledStatement
     0.05%  node     node                 [.] v8::internal::OrderedHashSet::Add
     0.05%  node     node                 [.] v8::internal::DeclarationScope::CheckConflictingVarDeclarations
     0.05%  node     libc-2.31.so         [.] malloc
     0.05%  node     node                 [.] v8::internal::DescriptorArray::CopyFrom
     0.05%  node     node                 [.] v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::Rehash
     0.05%  node     node                 [.] v8::internal::interpreter::BytecodeArrayBuilder::BytecodeArrayBuilder
     0.05%  node     node                 [.] v8::internal::interpreter::BytecodeArrayWriter::Write
     0.05%  node     node                 [.] v8::internal::ObjectLiteral::BuildBoilerplateDescription<v8::internal::Isolate>
     0.05%  node     node                 [.] Builtins_CallFunction_ReceiverIsAny
     0.05%  node     node                 [.] v8::internal::LookupIterator::LookupInRegularHolder<false>
     0.05%  node     node                 [.] v8::internal::Serializer::SerializeBackReference
     0.05%  node     node                 [.] v8::internal::ScopeInfo::ContextSlotIndex
